SJ101,仙灵岛的邂逅,2,眼前，是一池清澈的泉水，池中莲花盛开……,如果您使用男性角色，则补1张牌后扣1HP；若使用女性角色则弃掉防具，然后可选择一位男性角色，视为对其使用了1张【天雷破】。
SJ102,深入将军冢,1,非常恐怖的墓地，即使是野兽也不敢靠近，但里面据说有很多宝物。,在场没有宠物的角色，各补1张牌。
SJ103,走出圣姑小屋,2,眼前出现一个简朴的院落，门前一棵树下长满了鼠儿果。,由您指定我方一人和敌方一人各补2张牌。
SJ104,闯荡试炼窟,1,为了寻找宝物，你来到了试炼窟，这里盛产傀儡虫，也是苗疆战士锻炼自身的场所。,您从手牌堆上方翻开4张牌，从对方开始，双方轮流挑选1张（可以分配给任何人）。
SJ201,寻找天使绘卷,1,你找遍大江南北寻访高人，终于找到了提升生命力的宝物。,当前HP小于等于3的玩家，每人补1张牌。
SJ202,破除禁咒空间,1,你的队伍陷入了可怕的封印之中，只有无私的牺牲才能拯救大家。,您选择我方一名HP大于等于2的角色，使其HP扣为1，然后我方每人补一张牌。
SJ301,三世轮回,2,前尘一梦，三世轮回，任凭神魔都要重新开始。,所有玩家手牌调整为3张，少则补，多则弃。
SJ302,神树与夕瑶,2,神界，矗立着一棵光芒万丈的大树，在树下，你们得到了神女的帮助。,当前HP最少的角色，各恢复2HP。
SJ303,封印锁妖塔,1,为了换回六界的安宁，你需要做出巨大的牺牲。,您弃掉等于您宠物数量的手牌，然后补一张牌。
S3W01,大军围蜀山,1,骄傲的将军率领大军进犯蜀山，炮轰锁妖塔，强大的神魔怒而出手。,在场战力最高的角色各丢弃2张手牌，战力最低的角色各补2张手牌。
S3W02,绝世美味的诞生,1,心爱的人想要的可能只是一碗苹果酱，但它值得冒最大的风险去夺取。,您选择一名己方角色，令其恢复HP，恢复量=敌方宠物总数。
SJ401,拜访石沉溪洞,2,在这里，你得到了琼华先人的遗产，开始了新的旅程。,您放弃所有手牌，然后补2张牌。
SJ402,束缚幻瞑界,1,琼华派的杀戮场，充满了令人发狂的怨气。,场上所有角色扣除自己宠物数量的HP。
SJ501,误闯神魔之隙,1,一片虚空的世界，这里什么都没有，如果被困于此，谁也无法逃脱。,在场手牌最多的一名玩家角色横置，若牌最多的玩家不止一人，则本事件无效。
#SJ001,大洪水,1,测试的大洪水，全都去死吧~,在场所有玩家受到12点水属性伤害。
#SJ002,天坑,1,测试的天坑，单找个人坑。,当前回合行动者受到12点土属性伤害。
#SJ003,宠物雨,1,测试的雨，下一些爆发的宠物。,第一队玩家获得句芒，肥肥和璇龟。
